categories,primaryCategories,reviewsdate,reviewstext,reviewstitle,sentiment,review_year,review_month,review_day
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-26 00:00:00+00:00,purchas black fridaypro great price even saleveri power fast quad core processor amaz soundwel builtcon amazon ad amazon need subsid tablet remov add pay inabl access app except one amazon way abl accomplish add googl play storenet great tablet money,power tablet,Positive,2016,12,26
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-17 00:00:00+00:00,purchas two amazon echo plu two dot plu four fire stick hub philip hue lamp famili christma im happi purchas learn much alexa start daili routin alexa program whatev would like includ news weather music horoscop also start day compliment think import alexa gave best chili recip mean best call chili want husband use alexa stay organ busi date remind way go,amazon echo plu awesom,Positive,2018,1,17
"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-20 00:00:00+00:00,averag alexa option show thing screen still limit,averag,Neutral,2017,12,20
"eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",2017-08-04 00:00:00+00:00,good product exactli want good price,greattttttt,Positive,2017,8,4
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-23 00:00:00+00:00,rd one ive purchas ive bought one niec case compar one held protect tablet mani time drop,durabl,Positive,2017,1,23
"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2016-12-23 00:00:00+00:00,great product light weight wish wifi download onlin,love,Positive,2016,12,23
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-05-31 00:00:00+00:00,year old daughter save brother bought gb year earlier new need space os bit clunki less intuit higher price tablet tough beat price speed isnt great web certain game app fine book parent control help take time figur requir step seem necessari chang overal ok first tablet kid consid price adult fine ebook basic app otherwis best pay better qualiti os effici,ok entri level tablet,Neutral,2017,5,31
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-06-05 00:00:00+00:00,purchas son room upgrad memori allow book game speaker could better locat better posit,great kid smaller need,Positive,2016,6,5
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-23 00:00:00+00:00,bought mom need great price want get ipad think might great less expens option well,great tablet,Positive,2016,11,23
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-18 00:00:00+00:00,cheap run chrome stuff return store,cheap run chrome stuff return,Negative,2017,5,18
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-05-18 00:00:00+00:00,got tablet replac son old one love adultchild profil abil year replac warranti case also came handi mani time,great tablet,Positive,2017,5,18
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06 00:00:00+00:00,great product kid game app parent control make sure monitor kid prevent unwant app purchas,work great,Positive,2017,1,6
"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets",Electronics,2017-01-16 00:00:00+00:00,love choic color two kindl purchas gift,great pad children adult,Positive,2017,1,16
"Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,2016-12-31 00:00:00+00:00,replac fire kindl love hd qualiti,love amazon hd,Positive,2016,12,31
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-28 00:00:00+00:00,bought replac children age ipad theyr happi,awesom,Positive,2016,12,28
